Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2003-02-04,2.75,2.75,2.75,2.75,2.75,200.0,1.0,550.0,,,0.0,0.0
2003-02-07,2.75,3.3,2.75,3.3,2.82857142857,700.0,3.0,1980.0,,,0.55,0.55
2003-02-11,2.75,3.0,2.75,3.0,2.875,400.0,2.0,1150.0,,,0.25,0.25
2003-02-12,2.75,3.0,2.75,3.0,2.95,500.0,4.0,1475.0,,,0.25,0.25
2003-02-14,3.0,3.0,2.75,2.75,2.78356164384,730.0,2.0,2032.0,,,0.25,-0.25
2003-02-17,3.0,3.0,3.0,3.0,3.0,200.0,1.0,600.0,,,0.0,0.0
2003-02-18,2.75,3.25,2.75,3.25,3.21954314721,3940.0,10.0,12685.0,,,0.5,0.5
2003-02-20,2.75,2.75,2.75,2.75,2.75,200.0,1.0,550.0,,,0.0,0.0
2003-03-06,2.75,3.0,2.75,3.0,2.92857142857,1260.0,3.0,3690.0,,,0.25,0.25
2003-03-13,3.0,3.0,3.0,3.0,3.0,600.0,1.0,1800.0,,,0.0,0.0
2003-03-27,3.0,3.0,3.0,3.0,3.0,450.0,1.0,1350.0,,,0.0,0.0
2003-08-05,2.5,2.5,2.5,2.5,2.5,1000.0,3.0,2500.0,,,0.0,0.0
2003-08-18,2.01,2.6,2.01,2.6,2.03087885986,421.0,9.0,855.0,,,0.59,0.59
2003-08-19,3.12,3.12,2.09,3.0,2.39325842697,712.0,17.0,1704.0,,,1.03,-0.12
2003-08-20,3.6,3.6,2.6,2.6,2.69118982743,1101.0,6.0,2963.0,,,1.0,-1.0
2003-08-22,2.6,2.6,2.6,2.6,2.6,500.0,2.0,1300.0,,,0.0,0.0
2003-12-05,2.5,2.5,2.5,2.5,2.48,25.0,1.0,62.0,,,0.0,0.0
2003-12-15,2.45,2.45,2.45,2.45,2.43636363636,55.0,1.0,134.0,,,0.0,0.0
2003-12-17,2.5,2.5,2.5,2.5,2.5,500.0,3.0,1250.0,,,0.0,0.0
2003-12-22,2.5,3.0,2.01,3.0,2.4461709212,901.0,11.0,2204.0,,,0.99,0.5
2003-12-23,3.5,3.5,2.41,3.45,2.9349005425,1106.0,12.0,3246.0,,,1.09,-0.05
2003-12-24,3.5,3.75,2.77,3.75,3.61234567901,405.0,3.0,1463.0,,,0.98,0.25
2003-12-26,4.0,4.5,3.5,4.0,4.11600587372,2043.0,13.0,8409.0,,,1.0,0.0
2003-12-29,4.8,4.8,3.55,3.55,4.09739130435,1150.0,6.0,4712.0,,,1.25,-1.25
